Date,Open,High,Low,Close,Volume
27/10/2015 14:30,23071,23151,23070,23126,778
27/10/2015 14:15,23076,23101,23051,23070,646
27/10/2015 14:00,23035,23085,23034,23076,714
27/10/2015 13:45,22982,23034,22968,23028,420
27/10/2015 13:30,23010,23021,22984,22984,361
27/10/2015 13:15,22983,23028,22978,23010,621
27/10/2015 13:00,22950,22991,22927,22985,642
27/10/2015 11:45,22933,22952,22927,22952,148
27/10/2015 11:30,22933,22935,22921,22930,170
27/10/2015 11:15,22923,22943,22897,22935,471
27/10/2015 11:00,22931,22943,22921,22930,157
27/10/2015 10:45,22935,22953,22903,22930,307
27/10/2015 10:30,22931,22952,22899,22936,496
27/10/2015 10:15,23006,23009,22923,22933,814
27/10/2015 10:00,23042,23042,23002,23006,323
27/10/2015 9:45,23014,23053,23013,23042,403
27/10/2015 9:30,23064,23072,22986,23019,529
27/10/2015 9:15,23102,23113,23048,23064,389
27/10/2015 9:00,23128,23128,23128,23128,62
26/10/2015 16:00,23104,23104,23038,23045,147
26/10/2015 15:45,23100,23110,23084,23102,103
26/10/2015 15:30,23095,23117,23089,23096,86
26/10/2015 15:15,23109,23112,23082,23088,64
26/10/2015 15:00,23112,23125,23104,23115,100
26/10/2015 14:45,23065,23130,23065,23108,121
26/10/2015 14:30,23074,23093,23064,23064,117
26/10/2015 14:15,23140,23156,23060,23075,202
26/10/2015 14:00,23137,23163,23133,23138,111
26/10/2015 13:45,23127,23155,23124,23144,77
26/10/2015 13:30,23209,23209,23120,23144,149
26/10/2015 13:15,23151,23213,23134,23211,163
26/10/2015 13:00,23229,23229,23114,23157,184
26/10/2015 11:45,23226,23229,23222,23225,21
26/10/2015 11:30,23234,23240,23220,23225,38
26/10/2015 11:15,23227,23239,23210,23239,87
26/10/2015 11:00,23228,23252,23222,23222,82
26/10/2015 10:45,23208,23238,23188,23232,117
26/10/2015 10:30,23237,23268,23216,23219,133
26/10/2015 10:15,23261,23291,23235,23237,255
26/10/2015 10:00,23309,23330,23255,23264,157
26/10/2015 9:45,23308,23343,23275,23312,153
26/10/2015 9:30,23371,23381,23296,23302,220
26/10/2015 9:15,23413,23413,23349,23365,162
26/10/2015 9:00,23413,23413,23413,23413,2
23/10/2015 16:00,23159,23181,23159,23177,25
23/10/2015 15:45,23143,23158,23135,23158,26
23/10/2015 15:30,23158,23158,23150,23157,3
23/10/2015 15:15,23169,23169,23169,23169,5
23/10/2015 15:00,23150,23165,23150,23165,12
23/10/2015 14:45,23166,23166,23150,23153,15
23/10/2015 14:30,23175,23177,23165,23165,16
23/10/2015 14:15,23179,23188,23171,23183,16
23/10/2015 14:00,23184,23184,23160,23163,24
23/10/2015 13:45,23158,23175,23158,23175,11
23/10/2015 13:30,23151,23153,23145,23153,9
23/10/2015 13:15,23140,23150,23140,23150,3
23/10/2015 13:00,23145,23145,23126,23142,18
23/10/2015 11:45,23166,23166,23158,23164,11
23/10/2015 11:30,23180,23180,23170,23174,35
23/10/2015 11:15,23170,23181,23167,23170,16
23/10/2015 11:00,23164,23171,23148,23170,22
23/10/2015 10:45,23173,23177,23156,23168,37
